feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_only,logistic_c_3_0__balanced,validation,0.5,0.5445205479452054,0.5437688253012047,0.5985915492957746,0.6611111111111111,0.546875,0.5406626506024096,0.546875,359,305,493,595,3.0,balanced,logistic_tuning
v1_only,logistic_c_3_0__no_1_2,train,0.5,0.6548133377644844,0.6469023809478287,0.700269334359369,0.7029741212823484,0.697585281717133,0.5962194801785246,0.697585281717133,2271,1538,1578,3640,3.0,no_1_2,logistic_tuning
v1_only,logistic_c_3_0__no_1_2,validation,0.5,0.5525114155251142,0.5384645198440823,0.6234390009606148,0.6529175050301811,0.5965073529411765,0.48042168674698793,0.5965073529411765,319,345,439,649,3.0,no_1_2,logistic_tuning
v1_only,logistic_c_3_0__yes_1_2,train,0.5,0.6571396920350061,0.6198844579535205,0.7432600580671921,0.6552581541611818,0.8585665005749329,0.3812024153321082,0.8585665005749329,1452,2357,738,4480,3.0,yes_1_2,logistic_tuning
v1_only,logistic_c_3_0__yes_1_2,validation,0.5,0.6004566210045662,0.5433203401842664,0.7078464106844741,0.6483180428134556,0.7794117647058824,0.3072289156626506,0.7794117647058824,204,460,240,848,3.0,yes_1_2,logistic_tuning
v1_only,logistic_c_3_0__yes_1_4,train,0.5,0.6480558325024925,0.6015705022127396,0.747114542704768,0.6389380530973451,0.899386738213875,0.3037542662116041,0.899386738213875,1157,2652,525,4693,3.0,yes_1_4,logistic_tuning
v1_only,logistic_c_3_0__yes_1_4,validation,0.5,0.6084474885844748,0.5371356750531537,0.7251602564102564,0.6427556818181818,0.8318014705882353,0.24246987951807228,0.8318014705882353,161,503,183,905,3.0,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_0_05__none,train,0.5,0.6542594438905506,0.6283104176920149,0.726539910628231,0.6692493946731235,0.7945573016481411,0.4620635337358887,0.7945573016481411,1760,2049,1072,4146,0.05,none,logistic_tuning
v1_yellow_related,logistic_c_0_05__none,validation,0.5,0.6015981735159818,0.5498150690999292,0.7042372881355933,0.6533018867924528,0.7637867647058824,0.3358433734939759,0.7637867647058824,223,441,257,831,0.05,none,logistic_tuning
v1_yellow_related,logistic_c_0_05__balanced,train,0.5,0.6399689819430597,0.6429236861195283,0.6670764187666461,0.7165492957746479,0.6239938673821388,0.6618535048569179,0.6239938673821388,2521,1288,1962,3256,0.05,balanced,logistic_tuning
v1_yellow_related,logistic_c_0_05__balanced,validation,0.5,0.5616438356164384,0.5578490432317504,0.6190476190476191,0.6724137931034483,0.5735294117647058,0.5421686746987951,0.5735294117647058,360,304,464,624,0.05,balanced,logistic_tuning
v1_yellow_related,logistic_c_0_05__no_1_2,train,0.5,0.6530408773678963,0.644093174252625,0.7003444316877153,0.6992739778372182,0.701418167880414,0.5867681806248359,0.701418167880414,2235,1574,1558,3660,0.05,no_1_2,logistic_tuning
