feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_corners_related,logistic_c_1_0__yes_1_2,validation,0.5,0.5348173515981736,0.5338591093961831,0.5620634067705534,0.5397316821465429,0.5863228699551569,0.4813953488372093,0.5863228699551569,414,446,369,523,1.0,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_1_0__yes_1_4,train,0.5,0.5715076991248477,0.5650358977421407,0.6748486886348353,0.5508439687114038,0.8709047515730093,0.25916704391127204,0.8709047515730093,1145,3273,595,4014,1.0,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_1_0__yes_1_4,validation,0.5,0.5365296803652968,0.5331421420377516,0.612225405921681,0.5332778702163061,0.718609865470852,0.34767441860465115,0.718609865470852,299,561,251,641,1.0,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_3_0__none,train,0.5,0.5908939847125291,0.5897563381268035,0.6163116883116884,0.5913078149920256,0.6435235408982426,0.5359891353553644,0.6435235408982426,2368,2050,1643,2966,3.0,none,logistic_tuning
v1_corners_related,logistic_c_3_0__none,validation,0.5,0.5245433789954338,0.5263974345604339,0.4764299182903834,0.542203147353362,0.4248878923766816,0.627906976744186,0.4248878923766816,540,320,513,379,3.0,none,logistic_tuning
v1_corners_related,logistic_c_3_0__balanced,train,0.5,0.5896754181898748,0.5894119070085582,0.5996541288370082,0.5974585397372388,0.6018659145150792,0.5769578995020371,0.6018659145150792,2549,1869,1835,2774,3.0,balanced,logistic_tuning
v1_corners_related,logistic_c_3_0__balanced,validation,0.5,0.523972602739726,0.5265460423401815,0.4520367936925099,0.546031746031746,0.38565022421524664,0.6674418604651163,0.38565022421524664,574,286,548,344,3.0,balanced,logistic_tuning
v1_corners_related,logistic_c_3_0__no_1_2,train,0.5,0.586462833721059,0.5887750274253308,0.542131730651294,0.623589164785553,0.47949663701453676,0.698053417836125,0.47949663701453676,3084,1334,2399,2210,3.0,no_1_2,logistic_tuning
v1_corners_related,logistic_c_3_0__no_1_2,validation,0.5,0.5251141552511416,0.5298571279591199,0.3668188736681887,0.5710900473933649,0.2701793721973094,0.7895348837209303,0.2701793721973094,679,181,651,241,3.0,no_1_2,logistic_tuning
v1_corners_related,logistic_c_3_0__yes_1_2,train,0.5,0.5855766035227651,0.581280219060843,0.6590101175827181,0.5682175416535681,0.7843349967454979,0.3782254413761883,0.7843349967454979,1671,2747,994,3615,3.0,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_3_0__yes_1_2,validation,0.5,0.5371004566210046,0.536184690791532,0.563274098007539,0.5419689119170984,0.5863228699551569,0.48604651162790696,0.5863228699551569,418,442,369,523,3.0,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_3_0__yes_1_4,train,0.5,0.5721723717735682,0.56581811758265,0.6739827789971299,0.5516097830592787,0.8661314818832718,0.26550475328202805,0.8661314818832718,1173,3245,617,3992,3.0,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_3_0__yes_1_4,validation,0.5,0.53824200913242,0.534948899780999,0.6119904076738609,0.5347862531433362,0.7152466367713004,0.3546511627906977,0.7152466367713004,305,555,254,638,3.0,yes_1_4,logistic_tuning
