model,split,accuracy,balanced_accuracy,macro_f1,home_recall,draw_recall,away_recall,draw_boost,draw_threshold,C,class_weight,experiment_type
logistic_c_1_0__balanced,train,0.5379417303644621,0.5273980935744627,0.5249152063954989,0.5682223922468758,0.4372523117569353,0.5767195767195767,1.0,none,1.0,balanced,logistic_tuning
logistic_c_1_0__balanced,validation,0.509703196347032,0.4867962773708068,0.4859505860008911,0.6119205298013245,0.31101511879049676,0.5374531835205992,1.0,none,1.0,balanced,logistic_tuning
logistic_c_1_0__draw_1_2,train,0.5547801041320483,0.5145738954553756,0.5123145790822728,0.7258352461106861,0.277851166886834,0.5400352733686067,1.0,none,1.0,draw_1_2,logistic_tuning
logistic_c_1_0__draw_1_2,validation,0.5136986301369864,0.4658974709659212,0.4512451052064769,0.743046357615894,0.1490280777537797,0.5056179775280899,1.0,none,1.0,draw_1_2,logistic_tuning
logistic_c_1_0__draw_1_4,train,0.5481333776448433,0.5209000548976074,0.5225404559853652,0.6766131089007906,0.384852487890797,0.5012345679012346,1.0,none,1.0,draw_1_4,logistic_tuning
logistic_c_1_0__draw_1_4,validation,0.5051369863013698,0.46600990605177506,0.4631096900639898,0.6993377483443709,0.2267818574514039,0.47191011235955055,1.0,none,1.0,draw_1_4,logistic_tuning
logistic_c_1_0__draw_1_6,train,0.5333998005982054,0.5176479386488807,0.5179219759912002,0.625350675847998,0.47291941875825627,0.454673721340388,1.0,none,1.0,draw_1_6,logistic_tuning
logistic_c_1_0__draw_1_6,validation,0.4942922374429224,0.46521784083599677,0.4684420618636343,0.6503311258278146,0.32397408207343414,0.42134831460674155,1.0,none,1.0,draw_1_6,logistic_tuning
logistic_c_3_0__none,train,0.5577711310512906,0.5068101876861987,0.4939082594264752,0.762560571282836,0.18361955085865259,0.5742504409171075,1.0,none,3.0,none,logistic_tuning
logistic_c_3_0__none,validation,0.5234018264840182,0.4669464793884277,0.43328205768824796,0.7880794701986755,0.0734341252699784,0.5393258426966292,1.0,none,3.0,none,logistic_tuning
logistic_c_3_0__balanced,train,0.5417082087072117,0.5309196325817304,0.5284664822016528,0.5733231318541189,0.43989431968295906,0.5795414462081129,1.0,none,3.0,balanced,logistic_tuning
logistic_c_3_0__balanced,validation,0.5085616438356164,0.4868443217451302,0.48625183087325025,0.6052980132450331,0.31965442764578833,0.5355805243445693,1.0,none,3.0,balanced,logistic_tuning
logistic_c_3_0__draw_1_2,train,0.5563310069790628,0.5167916183517911,0.5148990387091399,0.7245600612088753,0.28401585204755614,0.5417989417989418,1.0,none,3.0,draw_1_2,logistic_tuning
logistic_c_3_0__draw_1_2,validation,0.5148401826484018,0.46780724243451993,0.45482277506275937,0.7417218543046358,0.15982721382289417,0.50187265917603,1.0,none,3.0,draw_1_2,logistic_tuning
logistic_c_3_0__draw_1_4,train,0.5471363686717625,0.5198912456370323,0.5215784861559699,0.6750828870186177,0.38265081461911055,0.5019400352733686,1.0,none,3.0,draw_1_4,logistic_tuning
logistic_c_3_0__draw_1_4,validation,0.5039954337899544,0.46597968122071026,0.464233761748291,0.695364238410596,0.24190064794816415,0.4606741573033708,1.0,none,3.0,draw_1_4,logistic_tuning
logistic_c_3_0__draw_1_6,train,0.5366123850670211,0.5209656445105665,0.5211951968252232,0.6279010456516195,0.4764420959929547,0.4585537918871252,1.0,none,3.0,draw_1_6,logistic_tuning
logistic_c_3_0__draw_1_6,validation,0.5034246575342466,0.4756231541062994,0.4789194381734563,0.6556291390728477,0.34989200863930886,0.42134831460674155,1.0,none,3.0,draw_1_6,logistic_tuning
