feature_set,model,split,score_type,score,count,rate
v1_only,ridge_regression,test,actual,0:2,101,0.0577472841623785
v1_only,ridge_regression,test,actual,3:1,74,0.04230989136649514
v1_only,ridge_regression,test,predicted,2:1,689,0.3939393939393939
v1_only,ridge_regression,test,predicted,1:1,507,0.28987993138936535
v1_only,ridge_regression,test,predicted,1:2,339,0.19382504288164665
v1_only,ridge_regression,test,predicted,3:1,75,0.04288164665523156
v1_only,ridge_regression,test,predicted,2:2,70,0.040022870211549454
v1_only,ridge_regression,test,predicted,2:0,35,0.020011435105774727
v1_only,ridge_regression,test,predicted,1:3,17,0.009719839908519153
v1_only,ridge_regression,test,predicted,3:0,8,0.004574042309891366
v1_only,ridge_regression,test,predicted,0:2,3,0.0017152658662092624
v1_only,ridge_regression,test,predicted,3:2,2,0.0011435105774728416
v1_only,ridge_regression,train,actual,1:1,1095,0.1213027583914922
v1_only,ridge_regression,train,actual,1:0,809,0.08962002880248145
v1_only,ridge_regression,train,actual,2:1,807,0.08939847125290794
v1_only,ridge_regression,train,actual,0:1,653,0.0723385399357483
v1_only,ridge_regression,train,actual,2:0,653,0.0723385399357483
v1_only,ridge_regression,train,actual,1:2,641,0.0710091946383073
v1_only,ridge_regression,train,actual,0:0,601,0.06657804364683727
v1_only,ridge_regression,train,actual,2:2,474,0.05250913924891991
v1_only,ridge_regression,train,actual,0:2,455,0.05040434252797164
v1_only,ridge_regression,train,actual,3:1,377,0.04176359809460507
v1_only,ridge_regression,train,predicted,2:1,3215,0.356153760939404
v1_only,ridge_regression,train,predicted,1:1,2780,0.30796499390716736
v1_only,ridge_regression,train,predicted,1:2,1833,0.2030574941841143
v1_only,ridge_regression,train,predicted,3:1,463,0.051290572726265644
v1_only,ridge_regression,train,predicted,2:2,292,0.03234740223773125
v1_only,ridge_regression,train,predicted,2:0,136,0.015065913370998116
v1_only,ridge_regression,train,predicted,1:3,125,0.013847346848343857
v1_only,ridge_regression,train,predicted,3:0,64,0.007089841586352055
v1_only,ridge_regression,train,predicted,0:2,41,0.0045419297662567856
v1_only,ridge_regression,train,predicted,4:1,28,0.003101805694029024
v1_only,ridge_regression,validation,actual,1:1,213,0.12157534246575342
v1_only,ridge_regression,validation,actual,1:0,152,0.0867579908675799
v1_only,ridge_regression,validation,actual,2:1,133,0.07591324200913242
v1_only,ridge_regression,validation,actual,1:2,120,0.0684931506849315
v1_only,ridge_regression,validation,actual,2:0,120,0.0684931506849315
v1_only,ridge_regression,validation,actual,0:1,114,0.06506849315068493
v1_only,ridge_regression,validation,actual,0:0,112,0.0639269406392694
v1_only,ridge_regression,validation,actual,2:2,110,0.06278538812785388
v1_only,ridge_regression,validation,actual,0:2,80,0.045662100456621
v1_only,ridge_regression,validation,actual,3:1,80,0.045662100456621
v1_only,ridge_regression,validation,predicted,2:1,698,0.3984018264840183
v1_only,ridge_regression,validation,predicted,1:1,489,0.2791095890410959
v1_only,ridge_regression,validation,predicted,1:2,338,0.19292237442922375
v1_only,ridge_regression,validation,predicted,3:1,78,0.04452054794520548
v1_only,ridge_regression,validation,predicted,2:2,68,0.03881278538812785
v1_only,ridge_regression,validation,predicted,2:0,34,0.019406392694063926
v1_only,ridge_regression,validation,predicted,1:3,15,0.008561643835616438
v1_only,ridge_regression,validation,predicted,3:0,12,0.00684931506849315
v1_only,ridge_regression,validation,predicted,4:1,5,0.0028538812785388126
v1_only,ridge_regression,validation,predicted,3:2,5,0.0028538812785388126
v1_score_related,catboost_regressor,test,actual,1:1,215,0.12292738707833048
v1_score_related,catboost_regressor,test,actual,1:0,162,0.09262435677530018
v1_score_related,catboost_regressor,test,actual,2:1,147,0.08404802744425385
v1_score_related,catboost_regressor,test,actual,1:2,127,0.07261292166952545
v1_score_related,catboost_regressor,test,actual,0:1,124,0.07089765580331618
v1_score_related,catboost_regressor,test,actual,2:0,111,0.0634648370497427
v1_score_related,catboost_regressor,test,actual,2:2,106,0.06060606060606061
v1_score_related,catboost_regressor,test,actual,0:0,101,0.0577472841623785
v1_score_related,catboost_regressor,test,actual,0:2,101,0.0577472841623785
v1_score_related,catboost_regressor,test,actual,3:1,74,0.04230989136649514
v1_score_related,catboost_regressor,test,predicted,2:1,747,0.42710120068610635
